day	hour	value
1	1	82
1	2	147
1	3	205
1	4	340
1	5	526
1	6	720
1	7	742
1	8	847
1	9	1021
1	10	1112
1	11	1034
1	12	885
1	13	811
1	14	725
1	15	606
1	16	455
1	17	402
1	18	357
1	19	330
1	20	298
2	1	86
2	2	157
2	3	209
2	4	352
2	5	554
2	6	769
2	7	801
2	8	905
2	9	1087
2	10	1201
2	11	1142
2	12	998
2	13	887
2	14	838
2	15	677
2	16	531
2	17	447
2	18	399
2	19	365
2	20	323
3	1	76
3	2	147
3	3	200
3	4	326
3	5	514
3	6	741
3	7	748
3	8	840
3	9	996
3	10	1111
3	11	1062
3	12	916
3	13	848
3	14	768
3	15	624
3	16	487
3	17	439
3	18	377
3	19	352
3	20	303
4	1	77
4	2	139
4	3	195
4	4	316
4	5	502
4	6	692
4	7	719
4	8	833
4	9	1018
4	10	1143
4	11	1078
4	12	945
4	13	859
4	14	785
4	15	647
4	16	498
4	17	447
4	18	389
4	19	349
4	20	320
5	1	78
5	2	143
5	3	192
5	4	307
5	5	504
5	6	714
5	7	750
5	8	842
5	9	1026
5	10	1137
5	11	1085
5	12	930
5	13	842
5	14	780
5	15	637
5	16	510
5	17	440
5	18	381
5	19	357
5	20	325
