day	hour	value
1	1	94
1	2	155
1	3	228
1	4	356
1	5	547
1	6	780
1	7	799
1	8	872
1	9	1077
1	10	1163
1	11	1034
1	12	929
1	13	943
1	14	802
1	15	669
1	16	498
1	17	435
1	18	418
1	19	365
1	20	323
2	1	102
2	2	156
2	3	230
2	4	384
2	5	578
2	6	824
2	7	838
2	8	929
2	9	1143
2	10	1258
2	11	1146
2	12	1026
2	13	975
2	14	874
2	15	721
2	16	559
2	17	486
2	18	444
2	19	393
2	20	345
3	1	99
3	2	156
3	3	241
3	4	368
3	5	566
3	6	771
3	7	799
3	8	869
3	9	1070
3	10	1207
3	11	1086
3	12	976
3	13	935
3	14	826
3	15	687
3	16	525
3	17	456
3	18	427
3	19	383
3	20	327
4	1	92
4	2	142
4	3	213
4	4	339
4	5	524
4	6	749
4	7	757
4	8	873
4	9	1058
4	10	1145
4	11	1033
4	12	972
4	13	926
4	14	826
4	15	688
4	16	513
4	17	457
4	18	421
4	19	385
4	20	333
5	1	95
5	2	144
5	3	224
5	4	328
5	5	545
5	6	734
5	7	793
5	8	862
5	9	1055
5	10	1168
5	11	1081
5	12	936
5	13	916
5	14	813
5	15	679
5	16	524
5	17	459
5	18	405
5	19	374
5	20	331
