day	hour	value
1	1	913
1	2	1157
1	3	1464
1	4	1631
1	5	1785
1	6	2356
1	7	2240
1	8	2109
1	9	2255
1	10	2685
1	11	2782
1	12	2388
1	13	2264
1	14	2146
1	15	1939
1	16	1654
1	17	1372
1	18	1334
1	19	1186
1	20	1064
2	1	942
2	2	1240
2	3	1440
2	4	1603
2	5	1882
2	6	2349
2	7	2185
2	8	2221
2	9	2525
2	10	2797
2	11	2968
2	12	2673
2	13	2665
2	14	2191
2	15	2210
2	16	1733
2	17	1509
2	18	1394
2	19	1219
2	20	1072
3	1	960
3	2	1130
3	3	1439
3	4	1663
3	5	1856
3	6	2381
3	7	2312
3	8	2137
3	9	2376
3	10	2708
3	11	2893
3	12	2595
3	13	2470
3	14	2259
3	15	2064
3	16	1647
3	17	1415
3	18	1395
3	19	1252
3	20	1068
4	1	930
4	2	1161
4	3	1428
4	4	1680
4	5	1848
4	6	2183
4	7	2031
4	8	2102
4	9	2553
4	10	2859
4	11	2766
4	12	2648
4	13	2447
4	14	2083
4	15	1987
4	16	1662
4	17	1370
4	18	1361
4	19	1179
4	20	1046
5	1	886
5	2	1265
5	3	1555
5	4	1539
5	5	2017
5	6	2323
5	7	2447
5	8	2140
5	9	2527
5	10	2563
5	11	2827
5	12	2478
5	13	2567
5	14	2262
5	15	2057
5	16	1706
5	17	1410
5	18	1349
5	19	1266
5	20	993
