day	hour	value
1	1	93
1	2	166
1	3	275
1	4	427
1	5	621
1	6	820
1	7	841
1	8	861
1	9	1078
1	10	1302
1	11	1261
1	12	1112
1	13	1032
1	14	1012
1	15	877
1	16	712
1	17	654
1	18	625
1	19	563
1	20	499
2	1	98
2	2	177
2	3	275
2	4	443
2	5	695
2	6	916
2	7	948
2	8	999
2	9	1213
2	10	1440
2	11	1401
2	12	1239
2	13	1146
2	14	1136
2	15	998
2	16	837
2	17	763
2	18	717
2	19	632
2	20	564
3	1	96
3	2	171
3	3	275
3	4	422
3	5	647
3	6	875
3	7	904
3	8	937
3	9	1149
3	10	1391
3	11	1362
3	12	1184
3	13	1101
3	14	1077
3	15	935
3	16	754
3	17	712
3	18	666
3	19	593
3	20	538
4	1	90
4	2	159
4	3	260
4	4	385
4	5	606
4	6	822
4	7	868
4	8	915
4	9	1137
4	10	1367
4	11	1340
4	12	1200
4	13	1065
4	14	1051
4	15	924
4	16	769
4	17	703
4	18	675
4	19	616
4	20	547
5	1	92
5	2	163
5	3	255
5	4	401
5	5	620
5	6	842
5	7	880
5	8	900
5	9	1118
5	10	1328
5	11	1309
5	12	1160
5	13	1079
5	14	1041
5	15	921
5	16	755
5	17	698
5	18	641
5	19	592
5	20	519
