day	hour	value
1	1	76,08333333
1	2	141,5
1	3	187,0208333
1	4	244,1632653
1	5	353,3333333
1	6	393,5833333
1	7	378,1836735
1	8	388,5769231
1	9	454,4423077
1	10	497,3846154
1	11	428
1	12	369,4038462
1	13	356,0784314
1	14	318,7307692
1	15	272,1764706
1	16	203,1372549
1	17	174,7647059
1	18	154,7647059
1	19	136,8461538
1	20	130,9411765
2	1	78,19607843
2	2	146,4509804
2	3	186,2941176
2	4	263,0784314
2	5	370,4509804
2	6	411,5490196
2	7	409,8039216
2	8	420,1153846
2	9	504,3846154
2	10	555,4038462
2	11	472,3653846
2	12	432,5384615
2	13	401,0192308
2	14	371,1730769
2	15	299,1153846
2	16	217,6346154
2	17	189,9615385
2	18	169,0384615
2	19	144,3076923
2	20	137,0384615
3	1	76,84
3	2	141,96
3	3	175,08
3	4	245,24
3	5	354,68
3	6	409,52
3	7	389,3921569
3	8	395,1320755
3	9	486,8867925
3	10	528,9056604
3	11	449,4528302
3	12	400
3	13	372,4716981
3	14	338,509434
3	15	276,6603774
3	16	214,7735849
3	17	184,7924528
3	18	163,1886792
3	19	143,0188679
3	20	135,6603774
4	1	72,79591837
4	2	130,4897959
4	3	174,2857143
4	4	222,254902
4	5	328,08
4	6	388,2857143
4	7	377,2244898
4	8	403,32
4	9	459,9803922
4	10	516,0784314
4	11	433,9019608
4	12	385,8039216
4	13	361,627451
4	14	327,7058824
4	15	272,3137255
4	16	207,372549
4	17	181,9019608
4	18	160,3
4	19	140,72
4	20	136,6734694
5	1	74,85416667
5	2	137,1458333
5	3	168,0408163
5	4	233,5306122
5	5	348,0833333
5	6	394,7916667
5	7	373,9591837
5	8	385,3269231
5	9	452,9807692
5	10	506,3921569
5	11	445,8846154
5	12	393,1538462
5	13	366,9038462
5	14	339,25
5	15	280,2692308
5	16	208,9230769
5	17	183,2692308
5	18	157,25
5	19	138,5769231
5	20	136,4038462
